,This is a citation overview for a set of 803 documents.,,,,,,,,,,,,,,
2023,THE ROLE OF INDEXING FOR A JOURNAL,1281976,ISRA International Journal of Islamic Finance,15,3,0,0,0,0,0,0,0,0,0,0
2023,Assessing ethical praxis of ethical (Islamic) financial institutions: a survey of empirical discoveries,1754243X,International Journal of Law and Management,65,5,0,0,0,1,3,1,0,5,0,5
2023,Shariah screening and corporate governance: The case of constituent stocks of Dow Jones US Indices,10590560,International Review of Economics and Finance,86,,0,0,1,2,3,3,1,10,0,10
2023,Determinant of Job Satisfaction and Job Performance among Staff of An Islamic Banks,26559609,Journal of Islamic Economic Laws,6,2,0,0,0,0,0,0,1,1,0,1
2023,"EDITORIAL In the Name of Allah, Most Gracious, Most Merciful",1281976,ISRA International Journal of Islamic Finance,15,2,0,0,0,0,0,1,0,1,0,1
2023,Saddling effect of underlying contracts on sales performance: a multi-group analysis in the takaful industry,17590833,Journal of Islamic Marketing,14,6,0,0,0,0,1,0,0,1,0,1
2023,The impact of sustainable banking practices on bank stability,13640321,Renewable and Sustainable Energy Reviews,178,,0,0,0,4,16,27,11,58,0,58
2023,Zakat payment from cryptocurrencies and crypto assets,17538394,International Journal of Islamic and Middle Eastern Finance and Management,16,3,0,0,0,1,13,14,8,36,0,36
2023,Shariah-compliant equities and Shariah screening: need for convergence of ethical screening of stocks with Shariah screening,17468809,International Journal of Emerging Markets,18,2,0,1,4,0,6,7,4,22,0,22
2023,Analysis of lending interest rate and economic activities in Malaysia,0094243X,AIP Conference Proceedings,2500,,0,0,0,0,1,0,0,1,0,1
2023,"Organizational decision-making behaviour related to ethical issues, developing scale with special reference to “inter-variable circular causality and religious (Islamic) discourse”",25149369,International Journal of Ethics and Systems,39,1,0,0,0,0,2,0,0,2,0,2
2023,Hire Purchase Under Shirkah al-Milk (HPSM) in Islamic Banking and Finance: A Shari’ah Analysis,,Hire Purchase Under Shirkah al-Milk (HPSM) in Islamic Banking and Finance: A Shari’ah Analysis,,,0,0,0,0,0,1,1,2,0,2
2023,Impact of Military Expenditure on Biodiversity Loss: Worldwide Evidence,1522936X,AgBioForum,25,1,0,0,0,0,1,0,0,1,0,1
2023,ARE GIG WORKERS PROTECTED? A POSSIBLE SOLUTION,13098055,International Journal of Economics and Finance Studies,15,3,0,0,0,0,2,0,1,3,0,3
2023,Monetary Policy and Exchange Rate in a Large Emerging Economy,9721509,Global Business Review,,,0,0,0,0,0,0,0,0,0,0
2023,Growth Differences Between Former Colonies,2100266,Cuadernos de Economia,46,130,0,0,0,1,1,0,0,2,0,2
2023,"ENHANCING SYNERGY IN THE WAQF ECOSYSTEM IN MALAYSIA: PROMOTING INCREASED WAQF CONTRIBUTIONS AMONG BENEFICIARIES, DONORS, AND MUTAWALLI",13098055,International Journal of Economics and Finance Studies,15,3,0,0,0,0,1,0,1,2,0,2
2023,Developing A Social Security Micro-Takaful Model for Gig Economy Workforce,2100266,Cuadernos de Economia,46,130,0,0,0,2,0,2,1,5,0,5
2023,Developing Islamic Infrastructure Financing in the D-8: Prospects and Challenges,,Economic Integration Among D-8 Muslim Countries: Prospects and Challenges,,,0,0,0,0,0,0,0,0,0,0
2023,Understanding Blockchain technology in Islamic social finance and its opportunities in metaverse,,"20th International Learning and Technology Conference, L and T 2023",,,0,0,0,0,6,1,3,10,0,10
2023,Investment decisions in digital sukuk in the time of COVID-19: do tax incentives matter?,20430795,Journal of Sustainable Finance and Investment,13,1,0,0,0,2,10,12,5,29,0,29
2023,The Role of Technology in Effective Distribution of Zakat to Poor and Needy,25233483,Palgrave CIBFR Studies in Islamic Finance,Part F11442,,0,0,0,1,0,2,2,5,0,5
2023,Maqasid al-Shariah and Sustainable Development Goals Convergence: An Assessment of Global Best Practices,25233483,Palgrave CIBFR Studies in Islamic Finance,Part F11442,,0,0,0,0,5,10,3,18,0,18
2023,Critical Review on Financial Reporting Practices by Islamic Banks: (Comparison between AAOIFI and IFRS),16938437,Nurani,22,2,0,0,0,0,0,0,0,0,0,0
2022,Editorial,1281976,ISRA International Journal of Islamic Finance,14,3,0,0,0,0,0,0,0,0,0,0
2022,Micro-takāful scheme for the protection of houses belonging to low-income groups in Malaysia,1281976,ISRA International Journal of Islamic Finance,14,3,0,0,0,2,2,1,3,8,0,8
2022,Can fraud in Islamic financial institutions be prevented using high standards of shariah governance?,1754243X,International Journal of Law and Management,64,6,0,0,0,2,5,5,2,14,0,14
2022,Private credit in dual banking countries: Does bank ownership type matter?,10964762,Thunderbird International Business Review,64,6,0,0,0,1,0,0,1,2,0,2
2022,THE NEED TO ELIMINATE MISMANAGEMENT AND CORRUPTION IN ISLAMIC SOCIAL FINANCE INSTITUTIONS,1282530,IIUM Law Journal,30,S2,0,0,0,1,2,3,3,9,0,9
2022,Pioneering Islamic microfinance in Uganda: A sustainable poverty alleviation approach,,Islamic Finance in Africa,,,0,0,0,0,1,0,1,2,0,2
2022,Future of Islamic finance in the post-COVID era in Africa,,Islamic Finance in Africa,,,0,0,0,0,0,0,0,0,0,0
2022,The development of waqf in Sudan for sustainable development,,Islamic Finance in Africa,,,0,0,0,0,0,0,0,0,0,0
2022,Islamic financing on agriculture in Sub-Saharan Africa,,Islamic Finance in Africa,,,0,0,0,0,0,0,1,1,0,1
2022,The potential of cash waqf for poverty alleviation in Somalia,,Islamic Finance in Africa,,,0,0,0,0,0,2,0,2,0,2
2022,Weak and missing links of Islamic finance in Nigeria: A legal appraisal,,Islamic Finance in Africa,,,0,0,0,0,0,0,0,0,0,0
2022,The transformative power of zakat (alms) in a humanitarian crisis: A case study from Kenya,,Islamic Finance in Africa,,,0,0,0,0,1,1,0,2,0,2
2022,Islamic finance in Africa,,Islamic Finance in Africa,,,0,0,0,0,0,0,0,0,0,0
2022,Introduction to Islamic finance in Africa,,Islamic Finance in Africa,,,0,0,0,0,0,0,0,0,0,0
2022,Islamic finance in Africa,,Islamic Finance in Africa,,,0,0,0,0,0,1,0,1,0,1
2022,Regulatory framework of Islamic finance in selected West African countries,,Islamic Finance in Africa,,,0,0,0,0,1,1,0,2,0,2
2022,Editorial,1281976,ISRA International Journal of Islamic Finance,14,2,0,0,0,0,0,0,0,0,0,0
2022,Adoption of the COSO methodology for internal Sharīʿah audit,1281976,ISRA International Journal of Islamic Finance,14,2,0,0,0,0,5,1,3,9,0,9
2022,Some thoughts on resetting the roles and functions of Sharīʿah committees of Islamic banks in Malaysia,1281976,ISRA International Journal of Islamic Finance,14,2,0,0,0,0,3,0,1,4,0,4
2022,Evolution of Islamic liquidity management in Turkey,17538394,International Journal of Islamic and Middle Eastern Finance and Management,15,4,0,0,1,0,2,2,1,6,0,6
2022,Burdening effect of Shariah knowledge and sales performance in Islamic financial institutions: does female salesforce perform better?,17590817,Journal of Islamic Accounting and Business Research,13,6,0,0,0,0,1,0,1,2,0,2
2022,Exploring the intentional behaviour of refugees in participating in micro-enterprise support programmes (MESP): is theory of planned behaviour (TPB) still relevant?,20534604,Journal of Entrepreneurship in Emerging Economies,14,4,0,0,2,2,13,9,1,27,0,27
2022,Communicated ethical identity disclosure (CEID) of Islamic banks under the AAOIFI and IFRS accounting regimes: a global evidence,17590817,Journal of Islamic Accounting and Business Research,13,5,0,0,0,0,5,3,3,11,0,11
2022,Editorial,1281976,ISRA International Journal of Islamic Finance,14,1,0,0,0,0,0,0,0,0,0,0
2022,Proposing an organizational framework for the Sharīʿah Secretariat of Islamic banks in Bangladesh,1281976,ISRA International Journal of Islamic Finance,14,1,0,0,1,1,1,3,0,6,0,6
2022,COVID-19 and GCC stock market performance: an analysis of the boon (financial stimulus package) and curse (oil price plunge) effects,17538394,International Journal of Islamic and Middle Eastern Finance and Management,15,2,0,0,1,1,3,2,1,8,0,8
2022,COVID-19 pandemic and risk dynamics of financial markets in G7 countries,17538394,International Journal of Islamic and Middle Eastern Finance and Management,15,2,0,0,0,3,3,0,2,8,0,8
2022,Cliophysics: A scientific analysis of recurrent historical events,2955075,EPL,138,2,0,0,0,2,2,0,0,4,0,4
2022,Portraying ethical reasoning in Islamic banking: Addressing the role of work experience,26946416,"Business Ethics, Environment and Responsibility",31,2,0,0,1,2,4,0,2,9,0,9
2022,Product market fluidity and religious constraints: evidence from the US market,8105391,Accounting and Finance,62,S1,0,0,0,0,0,1,0,1,0,1
2022,Salesforce product knowledge in Islamic financial institutions; development and validation of measurement scale,17590833,Journal of Islamic Marketing,13,5,0,0,3,2,1,1,0,7,0,7
2022,What motivates retail investors to invest in government-issued digital sukuk during COVID-19?,17590817,Journal of Islamic Accounting and Business Research,13,3,0,0,0,2,10,9,6,27,0,27
2022,"Does implied volatility (or fear index) affect Islamic stock returns and conventional stock returns differently? Wavelet-based granger-causality, asymmetric quantile regression and NARDL approaches",10424431,"Journal of International Financial Markets, Institutions and Money",77,,0,0,4,5,8,7,5,29,0,29
2022,Depicting ethical dilemma in Islamic financial institutions; addressing the gender heterogeneity,1309422X,Eurasian Economic Review,12,1,0,0,1,2,1,1,0,5,0,5
2022,"Correction to: Are religious investors financially smart? Evidence from equity funds (Journal of Asset Management, (2022), 23, 1, (33-45), 10.1057/s41260-021-00240-2)",14708272,Journal of Asset Management,23,2,0,0,0,0,0,0,0,0,0,0
2022,Impact of non-intermediation activities of banks on economic growth and volatility: An evidence from oic,2175908,Singapore Economic Review,67,1,0,1,8,22,4,2,0,37,0,37
2022,Does foreign aid help or hinder the institutional quality of the recipient country? new evidence from the oic countries,2175908,Singapore Economic Review,67,1,0,0,1,1,1,0,1,4,0,4
2022,Maqashid Al Shariah in Economic Development: Theoretical Review of Muhammad Umer Chapra's Thoughts,14120992,Millah: Journal of Religious Studies,21,2,0,0,1,0,3,4,2,10,0,10
2022,Are religious investors financially smart? evidence from equity funds,14708272,Journal of Asset Management,23,1,0,0,0,0,1,0,1,2,0,2
2022,External Sharī‘ah audit and review committee Vis-a-Vis Sharī‘ah compliance quality and accountability: A case of Islamic banks in Bangladesh,14723891,Journal of Public Affairs,22,1,1,3,7,3,4,7,3,27,0,28
2022,DOES (ISLAMIC) STOCK MARKET MITIGATE SHADOW ECONOMY IN MALAYSIA?,13098055,International Journal of Economics and Finance Studies,14,2,0,0,0,0,0,1,0,1,0,1
2022,Managing the Malaysian Economy after the Watershed GE 2008,,Regime Resilience: In Malaysia and Singapore,,,0,0,0,0,0,0,0,0,0,0
2022,Financial Derivatives: Markets and Applications: 5th Edition,,Financial Derivatives: Markets and Applications: 5th Edition,,,0,0,0,0,1,0,0,1,0,1
2022,A Fintech-Based Zakat Model Using Artificial Intelligence,,"FinTech in Islamic Financial Institutions: Scope, Challenges, and Implications in Islamic Finance",,,0,0,0,2,1,2,1,6,0,6
2022,COVID-19 Pandemic and ‘KITA JAGA KITA’: Appraisal of Social Responsible Practices of Islamic Banking Institutions in Malaysia,,Wealth Management and Investment in Islamic Settings: Opportunities and Challenges,,,0,0,0,1,0,0,0,1,0,1
2022,AN ASSESSMENT OF CURRENCY EXPOSURE OF NON-FINANCIAL FIRMS IN ASEAN-4: INSIGHTS USING THE STOCK RETURNS AND CASH FLOW METHODOLOGIES,23052147,Asian Economic and Financial Review,12,12,0,0,0,0,1,1,0,2,0,2
2022,What drives the Halal Food and Beverage Trade? A Gravity Model Investigation,2100266,Cuadernos de Economia,45,127,0,0,0,1,5,1,0,7,0,7
2022,Quota sampling method in online household surveys,22150161,MethodsX,9,,0,0,0,3,5,18,9,35,0,35
2022,UNDERSTANDING ISSUES OF AFFORDABLE HOUSING IN MALAYSIA TO ATTRACT INVESTMENT: AN EXPLORATORY INVESTIGATION,16756215,Planning Malaysia,20,,0,0,1,1,4,5,2,13,0,13
2022,The Impact of Reading Habits and Their Antecedents on The Subjective Well-Being of Malaysian Youths,1302597X,Eurasian Journal of Educational Research,2022,97,0,0,0,0,0,1,1,2,0,2
2022,The Sociology of Reading Among Malaysian Youths: Building A Culture of Reading to Enhance Environmental Awareness and Develop Pro-Environmental Behavior,26305984,Educational Sciences: Theory and Practice,22,1,0,0,0,0,0,0,0,0,0,0
2022,Re-examining oil and BRICS’ stock markets: new evidence from wavelet and MGARCH-DCC,17520843,Macroeconomics and Finance in Emerging Market Economies,15,2,0,2,4,7,5,3,5,26,0,26
2022,‘It’s better to treat a COVID patient than a HIV patient’: using feminist participatory research to assess women’s challenges to access HIV care in Indonesia during the COVID-19 pandemic,20499361,Therapeutic Advances in Infectious Disease,8,,0,0,2,1,3,1,0,7,0,7
2021,In search of safe haven assets during COVID-19 pandemic: An empirical analysis of different investor types,2755319,Research in International Business and Finance,58,,0,3,25,18,22,26,7,101,0,101
2021,Measuring burdening effect of Shariah knowledge on sales performance; does work experience matter? A multi-group analysis in the Islamic finance industry,17538394,International Journal of Islamic and Middle Eastern Finance and Management,14,5,0,0,2,5,3,0,0,10,0,10
2021,Switching costs and bank competition: Evidence from dual banking economies,10424431,"Journal of International Financial Markets, Institutions and Money",75,,0,0,2,2,2,3,3,12,0,12
2021,THE RELEVANCE OF SHURA IN PROMOTING SHARED PROSPERITY IN DEVELOPED AND DEVELOPING COUNTRIES: ICIS 2021,22321047,Journal of Fatwa Management and Research,26,2,0,0,0,0,1,0,0,1,0,1
2021,Drawing ethical mentation in Islamic banks; addressing operational lines heterogeneity with special reference to Al-Ghazali’s ethical philosophy,25149369,International Journal of Ethics and Systems,37,4,0,0,2,1,5,2,1,11,0,11
2021,Dividend payout policy of Shariah compliant firms: Evidence from United States,0927538X,Pacific Basin Finance Journal,69,,0,1,4,3,8,8,3,27,0,27
2021,Editorial,1281976,ISRA International Journal of Islamic Finance,13,2,0,0,0,0,0,0,0,0,0,0
2021,Does sectoral diversification of loans and financing improve bank returns and risk in dual-banking systems?,0927538X,Pacific Basin Finance Journal,68,,0,0,3,2,5,5,6,21,0,21
2021,The effectiveness of the post-Covid-19 recovery policies: Evidence from a simulated DSGE model for Turkey,3135926,Economic Analysis and Policy,71,,0,1,3,4,4,1,1,14,0,14
2021,"Pandemic crisis, digitalization and social responsibility: An emerging role of Islamic economics and finance",,Islamic Finance and Sustainable Development: A Sustainable Economic Framework for Muslim and Non-Muslim Countries,,,0,0,0,0,1,1,0,2,0,2
2021,Need to redefine Islamic finance in the light of Maqasid Al-Shariah,,Islamic Finance and Sustainable Development: A Sustainable Economic Framework for Muslim and Non-Muslim Countries,,,0,0,0,0,0,2,1,3,0,3
2021,"Sustainable finance and a Shari' analysis of Environmental, Social and Governance (ESG) criteria",,Islamic Finance and Sustainable Development: A Sustainable Economic Framework for Muslim and Non-Muslim Countries,,,0,0,0,4,8,5,2,19,0,19
2021,The role of Islamic finance in achieving Sustainable Development Goals (SDGs),,Islamic Finance and Sustainable Development: A Sustainable Economic Framework for Muslim and Non-Muslim Countries,,,0,0,1,1,9,8,2,21,0,21
2021,Foreword,,Contemporary Issues in Islamic Social Finance,,,0,0,0,0,0,0,0,0,0,0
2021,Social enterprise and waqf: An alternative sustainable vehicle for Islamic social finance,,"Foundations of a Sustainable Economy: Moral, Ethical and Religious Perspectives",,,0,1,0,0,1,2,1,5,0,5
2021,Legal and compliance reform for Islamic financial benchmarking,,Benchmarking Islamic Finance: A Framework for Evaluating Financial Products and Services,,,0,0,0,0,0,0,0,0,0,0
2021,"Islamic Economics: Morality, Rationality, and Research",10187383,"Journal of King Abdulaziz University, Islamic Economics",34,2,0,0,0,0,0,0,0,0,0,0
2021,"Islamic banks: History, stability and lessons from cooperative banking",22321640,Institutions and Economies,13,3,0,0,0,0,1,0,0,1,0,1
2021,Sharī'ah framework for pricing family takāful products,1284878,Intellectual Discourse,29,1,0,0,0,0,1,0,1,2,0,2
2021,Ethical investing and capital structure,15660141,Emerging Markets Review,47,,0,2,5,3,1,3,2,16,0,16
2021,Exchange rates and fundamentals: Further evidence based on asymmetric causality test,21107017,International Economics,165,,0,2,0,1,4,0,0,7,0,7
2021,Islamic ethical wealth and its strategic solutions to 'zero hunger' scheme,,Islamic Wealth and the SDGs: Global Strategies for Socio-Economic Impact,,,0,0,1,0,2,0,0,3,0,3
2021,Measuring ethical judgement on ethical choice in an ethical system: a confirmatory study on Islamic banks in UAE,17538394,International Journal of Islamic and Middle Eastern Finance and Management,14,2,0,2,4,2,6,0,2,16,0,16
2021,Middle-income customers and their perception of Islamic banking in Sylhet: one of Bangladesh’s most pious cities,17538394,International Journal of Islamic and Middle Eastern Finance and Management,14,2,0,0,3,2,3,1,4,13,0,13
2021,Structuring fund for affordable housing investment in Malaysia: an exploratory research,17538270,International Journal of Housing Markets and Analysis,14,2,0,0,0,0,2,2,0,4,0,4
2021,COVID-19 and islamic social finance,,COVID-19 and Islamic Social Finance,,,0,0,1,5,2,2,0,10,0,10
2021,Funding the refugee crisis in Turkey: A case for social impact sukuk,,COVID-19 and Islamic Social Finance,,,0,0,1,0,2,2,0,5,0,5
2021,Impact of COVID-19 on islamic social finance,,COVID-19 and Islamic Social Finance,,,0,2,0,3,4,0,0,9,0,9
2021,Introduction,,COVID-19 and Islamic Social Finance,,,0,0,0,0,0,0,0,0,0,0
2021,Foreword,,COVID-19 and Islamic Social Finance,,,0,0,0,0,0,0,0,0,0,0
2021,"Competition, diversification, and stability in the Indonesian banking system",14108046,Buletin Ekonomi Moneter dan Perbankan/Monetary and banking economics bulletin,24,,0,0,5,4,3,5,0,17,0,17
2021,Is there a diversification “cost” of Shari'ah compliance? Empirical evidence from Malaysian equities,9393625,Economic Systems,45,1,0,0,1,1,2,1,2,7,0,7
2021,Halal certification process for fisheries products in Maldives,17590833,Journal of Islamic Marketing,12,2,0,1,1,3,7,10,2,24,0,24
2021,Towards development and validation of scale for ethical decision-making model in marketing: A religious–humanistic approach with special reference to ethical philosophy in Islam,17590833,Journal of Islamic Marketing,12,2,0,2,2,0,2,0,1,7,0,7
2021,Legal and Sharīʿah non-compliance risks in Nigerian Islamic finance industry: a review of the literature,1754243X,International Journal of Law and Management,63,2,0,1,3,5,8,2,1,20,0,20
2021,Performance of Shari’ah-compliant and non-Shari’ah-compliant listed firms: a case study of Malaysia,17538394,International Journal of Islamic and Middle Eastern Finance and Management,14,1,0,0,1,2,10,6,3,22,0,22
2021,"Reconciling selection criteria of Islamic banking services: a survey on perception of Islamic bankers, institutional clients and retail customers in UAE",17590817,Journal of Islamic Accounting and Business Research,12,1,0,2,2,2,3,2,0,11,0,11
2021,Editorial,1281976,ISRA International Journal of Islamic Finance,13,1,0,0,0,0,0,0,0,0,0,0
2021,Islamic Commercial Law,,Islamic Law in Malaysia: The Challenges of Implementation,,,0,0,0,0,0,0,0,0,0,0
2021,Islamic FinTech and Financial Inclusion,,Islamic FinTech: Insights and Solutions,,,0,0,0,0,1,7,2,10,0,10
2021,The Direction of Future Research on i-FinTech,,Islamic FinTech: Insights and Solutions,,,0,0,1,0,0,0,0,1,0,1
2021,The Opportunities of Digital Wallets from an Islamic Perspective,,Islamic FinTech: Insights and Solutions,,,0,0,0,0,0,0,0,0,0,0
2021,METHODOLOGIES AND SMART TECHNIQUES RECOMMENDED IN ANALYZING MAQASID AL-SHARI”AH FOR ISLAMIC ECONOMICS AND FINANCE,,Teaching and Research Methods for Islamic Economics and Finance,,,0,0,0,0,1,1,0,2,0,2
2021,Contributions of Professor M. Kabir Hassan to the Islamic Finance Literature: A Bibliometric Study,1271962,Jurnal Ekonomi Malaysia,55,3,0,0,0,1,2,3,2,8,0,8
2021,Editorial,1281976,ISRA International Journal of Islamic Finance,13,3,0,0,0,0,0,0,0,0,0,0
2021,Volatility transmission within financial markets during the COVID-19 pandemic: are faith-based investors well off in Tunisia?,17590817,Journal of Islamic Accounting and Business Research,13,1,0,0,1,2,2,4,0,9,0,9
2021,Zakat Calculation Software for Corporate Entities,,Islamic FinTech: Insights and Solutions,,,0,1,0,1,0,1,1,4,0,4
2021,COVID-19: it’s impact in Hajj and Umrah and a future direction,17590817,Journal of Islamic Accounting and Business Research,12,5,0,0,6,4,7,2,2,21,0,21
2021,Judicial challenges facing the islamic finance industry of Nigeria,9548890,African Journal of International and Comparative Law,29,2,0,0,3,0,0,0,0,3,0,3
2021,Impact of Bank Concentration and Financial Development on Growth Volatility: The Case of Selected OIC Countries,1540496X,Emerging Markets Finance and Trade,57,7,0,0,1,1,2,2,0,6,0,6
2021,Lessons from COVID 19 - what the virus has taught us,1307671X,Duzce Medical Journal,23,Special Issue 1,0,1,2,0,0,0,0,3,0,3
2021,"Ownership type, business model, market structure, and the performance of Takaful and conventional insurance companies in Malaysia",23322039,Cogent Economics and Finance,9,1,0,0,1,0,3,2,0,6,0,6
2021,Infrastructure-FDI nexus in Nigeria: Insights from nonlinear threshold regression model,17516447,Afro-Asian Journal of Finance and Accounting,11,1,0,0,0,1,0,1,0,2,0,2
2021,ESG activities and banking performance: International evidence from emerging economies,10424431,"Journal of International Financial Markets, Institutions and Money",70,,0,8,27,58,105,157,107,462,0,462
2021,"Competition, diversification and performance in dual banking: a panel VAR analysis",1331677X,Economic Research-Ekonomska Istrazivanja,34,1,0,0,2,2,5,0,2,11,0,11
2021,Why CEOs invest in Corporate Social Responsibility initiatives: evidence on Shariah compliant firms,13504851,Applied Economics Letters,28,8,0,1,0,0,2,2,0,5,0,5
2021,Do the Islamic Stock Market Returns Respond Differently to the Realized and Implied Volatility of Oil Prices? Evidence from the Time–Frequency Analysis,1540496X,Emerging Markets Finance and Trade,57,9,2,1,6,5,4,2,3,21,0,23
2021,Regulating FinTech Businesses: The Malaysian Experience,,"Research Anthology on Concepts, Applications, and Challenges of FinTech",,,0,0,0,0,0,0,0,0,0,0
2021,Editorial,1281976,ISRA International Journal of Islamic Finance,12,3,0,0,0,0,0,0,0,0,0,0
2020,Practical application of Kafalah in Islamic banking in Malaysia,23991747,PSU Research Review,4,3,0,0,0,1,2,2,1,6,0,6
2020,Lending Rate and Carbon Emissions Nexus: Evidence from the United States of America,2590051X,Research in Globalization,2,,0,0,1,0,2,2,0,5,0,5
2020,Which Sustainability Dimensions Affect Credit Risk? Evidence from Corporate and Country-Level Measures,19118066,Journal of Risk and Financial Management,13,12,0,2,5,7,6,6,2,28,0,28
2020,Portfolio diversification benefits in southeast asian stock markets for turkish investors,15114554,Malaysian Journal of Economic Studies,57,2,0,0,0,0,0,0,0,0,0,0
2020,How does the monetary transmission mechanism work? Evidence from Turkey,22148450,Borsa Istanbul Review,20,4,0,3,2,4,4,6,2,21,0,21
2020,Socially responsible investment sukuk (Islamic bond) development in Malaysia,17554179,Qualitative Research in Financial Markets,12,4,0,1,2,4,11,11,0,29,0,29
2020,Al Meezan Investment Management Limited: evolution of Sharīʿah-compliant mutual funds,20450621,Emerald Emerging Markets Case Studies,10,4,0,1,0,0,0,0,0,1,0,1
2020,Editorial,1281976,ISRA International Journal of Islamic Finance,12,2,0,0,0,0,0,0,0,0,0,0
2020,Conceptual framework of internal Sharīʿah audit effectiveness factors in Islamic banks,1281976,ISRA International Journal of Islamic Finance,12,2,0,1,8,2,5,4,2,22,0,22
2020,The effects of interest rate on Islamic bank financing instruments: Cross-country evidence from dual-banking systems,0927538X,Pacific Basin Finance Journal,62,,0,4,3,7,8,12,2,36,0,36
2020,Ethical investments and financial performance: An international evidence,0927538X,Pacific Basin Finance Journal,62,,1,2,0,3,1,6,3,15,0,16
2020,An exploratory study on Musharakah SRI Sukuk for the development of Waqf properties/assets in Malaysia,17554179,Qualitative Research in Financial Markets,12,3,0,6,4,8,13,11,6,48,0,48
2020,The effect of halal foods awareness on purchase decision with religiosity as a moderating variable: A study among university students in Brunei Darussalam,17590833,Journal of Islamic Marketing,11,5,1,7,4,8,13,13,5,50,0,51
2020,Salam for import operations: mitigating commodity macro risk,17590817,Journal of Islamic Accounting and Business Research,11,8,1,1,0,0,2,2,0,5,0,6
2020,Islamic Depositary Receipts (IDRs) as a panacea,22320474,Global Journal Al-Thaqafah,10,1,0,0,0,0,0,0,0,0,0,0
2020,Comment on “Economic Reforms in the Aftermath of Regime Change in Malaysia”,18328105,Asian Economic Policy Review,15,2,1,0,0,0,0,0,0,0,0,1
2020,Sharīʿah-compliant central banking practices: lessons from Muslim countries’ experience,1281976,ISRA International Journal of Islamic Finance,12,1,0,1,0,1,3,4,0,9,0,9
2020,Editorial,1281976,ISRA International Journal of Islamic Finance,12,1,0,0,0,0,0,0,0,0,0,0
2020,Need to pioneer Islamic tourism in tourist resorts in Maldives,17590833,Journal of Islamic Marketing,11,4,2,0,1,0,3,2,1,7,0,9
2020,The nexus between oil price and islamic stock markets in Africa: A wavelet and Multivariate-GARCH approach,22148450,Borsa Istanbul Review,20,2,1,7,13,7,5,2,6,40,0,41
2020,The impact of situational factors on ethical choice: A survey of Islamic banking practitioners in UAE,17590817,Journal of Islamic Accounting and Business Research,11,6,2,1,4,4,0,0,1,10,0,12
2020,What drives the financial performance of general takaful companies?,17590817,Journal of Islamic Accounting and Business Research,11,6,0,3,0,1,0,9,2,15,0,15
2020,Ethics in the light of maqasid Al-Shari'ah: A case study of islamic economics and finance,,Handbook of Ethics of Islamic Economics and Finance,,,0,1,0,1,4,3,2,11,0,11
2020,Ethics of risk-sharing economics and finance,,Handbook of Ethics of Islamic Economics and Finance,,,0,0,0,0,1,2,0,3,0,3
2020,Handbook of ethics of islamic economics and finance,,Handbook of Ethics of Islamic Economics and Finance,,,0,0,2,1,0,2,1,6,0,6
2020,Zakat and waqf as instrument of Islamic wealth in poverty alleviation and redistribution: Case of Malaysia,0144333X,International Journal of Sociology and Social Policy,40,3-Apr,0,7,5,10,13,25,15,75,0,75
2020,Malaysia,,The Edinburgh Companion to Shari'ah Governance in Islamic Finance,,,0,0,0,0,0,0,0,0,0,0
2020,Saudi Arabia,,The Edinburgh Companion to Shari'ah Governance in Islamic Finance,,,0,0,0,0,0,0,0,0,0,0
2020,Merton's equation and the quantum oscillator: Pricing risky corporate coupon bonds,3784371,Physica A: Statistical Mechanics and its Applications,541,,1,0,0,1,3,0,0,4,0,5
2020,Need for calibration: applying a maximum threshold to liquidity ratio for Islamic banks,17538394,International Journal of Islamic and Middle Eastern Finance and Management,13,1,0,1,3,0,3,0,0,7,0,7
2020,"Damage assessment for kelantan flooding: Does the early warning instrument mitigates the risk? a case of kuala krai, Kelantan",0974262X,Disaster Advances,13,2,0,0,0,0,0,0,0,0,0,0
2020,Bank Risk and Financial Development: Evidence From Dual Banking Countries,1540496X,Emerging Markets Finance and Trade,56,2,2,3,7,25,5,6,1,47,0,49
2020,Short-term Sharīʿah-compliant Islamic liquidity management instruments to sustain Islamic banking: The case of Maldives,17590817,Journal of Islamic Accounting and Business Research,11,2,0,0,2,1,0,1,0,4,0,4
2020,House financing: contracts used by Islamic banks for finished properties in Malaysia,17590817,Journal of Islamic Accounting and Business Research,11,1,0,1,0,2,1,4,0,8,0,8
2020,Too Small to Succeed versus Too Big to Fail: How Much Does Size Matter in Banking?,1540496X,Emerging Markets Finance and Trade,56,1,0,0,3,0,2,1,0,6,0,6
2020,ARE ISLAMIC BANKS SUFFERING FROM A MODEL MISFIT? A COMPARISON WITH COOPERATIVE BANKS,24606146,Journal of Islamic Monetary Economics and Finance,6,2,0,0,0,1,0,0,0,1,0,1
2020,Mathematical Methods and Quantum Mathematics for Economics and Finance,,Mathematical Methods and Quantum Mathematics for Economics and Finance,,,1,0,1,1,2,1,0,5,0,6
2020,Leading Issues in Islamic Economics and Finance: Critical Evaluations,,Leading Issues in Islamic Economics and Finance: Critical Evaluations,,,0,0,1,0,2,3,0,6,0,6
2020,Assessing the effectiveness of internal Sharīʿah audit structure and its practices in Islamic financial institutions: a case study of Islamic banks in Yemen,24599700,Asian Journal of Accounting Research,6,1,0,1,0,1,0,3,2,7,0,7
2020,"Ṣukūk on blockchain: a legal, regulatory and Sharī’ah review",1281976,ISRA International Journal of Islamic Finance,13,1,0,1,4,8,11,4,6,34,0,34
